"5","T","710010172","","","","","","","","","10390.00","","","","","","10300.00","","","","","","","","","","20241201","","","","","","","","","",""
"5","T","710010173","","","","","","","","","9081.00","","","","","","8991.00","","","","","","","","","","20241201","","","","","","","","","",""
"5","T","710010174","","","","","","","","","9176.00","","","","","","9086.00","","","","","","","","","","20241201","","","","","","","","","",""
"5","T","710010175","","","","","","","","","9165.00","","","","","","9075.00","","","","","","","","","","20241201","","","","","","","","","",""
"5","T","710010176","","","","","","","","","3010.00","","","","","","3045.00","","","","","","","","","","20241201","","","","","","","","","",""
"5","T","710010180","","","","","","","","","4543.00","","","","","","4560.00","","","","","","","","","","20241201","","","","","","","","","",""
"5","T","710010181","","","","","","","","","177.00","","","","","","179.00","","","","","","","","","","20241201","","","","","","","","","",""
"5","T","710010182","","","","","","","","","202.00","","","","","","204.00","","","","","","","","","","20241201","","","","","","","","","",""
"5","T","710010183","","","","","","","","","244.00","","","","","","245.00","","","","","","","","","","20241201","","","","","","","","","",""
"3","T","739310004","26","血栓除去用カテーテル（経皮的血栓除去用・分離捕捉型）","16","ｹｯｾﾝｼﾞｮｷｮﾖｳｶﾃｰﾃﾙ","0","0","","1","1050000.00","0","0","00","00","0","0.00","0","0","0","0","0","0","","769500","0","20241201","00000000","99999999","2","133","0","","","","血管内手術用カテーテル・血栓除去用カテーテル・経皮的血栓除去用・分離捕捉型","000"
"3","T","739310005","15","大動脈分岐部用フィルターセット","20","ﾀﾞｲﾄﾞｳﾐｬｸﾌﾞﾝｷﾌﾞﾖｳﾌｨﾙ","0","0","","1","520000.00","0","0","00","00","0","0.00","0","0","0","0","0","0","","798500","0","20241201","00000000","99999999","2","133","0","","","","血管内手術用カテーテル・大動脈分岐部用フィルターセット","000"
"3","T","739310006","10","静脈用ステントセット","16","ｼﾞｮｳﾐｬｸﾖｳｽﾃﾝﾄｾｯﾄ","0","0","","1","335000.00","0","0","00","00","0","0.00","0","0","0","0","0","0","","981300","0","20241201","00000000","99999999","2","230","0","","","","静脈用ステントセット","000"
