"5","T","710010172","","","","","","","","","10300.00","","","","","","9232.00","","","","","","","","","","20240901","","","","","","","","","",""
"5","T","710010173","","","","","","","","","8991.00","","","","","","7923.00","","","","","","","","","","20240901","","","","","","","","","",""
"5","T","710010174","","","","","","","","","9086.00","","","","","","8018.00","","","","","","","","","","20240901","","","","","","","","","",""
"5","T","710010175","","","","","","","","","9075.00","","","","","","8007.00","","","","","","","","","","20240901","","","","","","","","","",""
"5","T","710010176","","","","","","","","","3045.00","","","","","","2760.00","","","","","","","","","","20240901","","","","","","","","","",""
"5","T","710010180","","","","","","","","","4560.00","","","","","","4237.00","","","","","","","","","","20240901","","","","","","","","","",""
"5","T","710010181","","","","","","","","","179.00","","","","","","159.00","","","","","","","","","","20240901","","","","","","","","","",""
"5","T","710010182","","","","","","","","","204.00","","","","","","184.00","","","","","","","","","","20240901","","","","","","","","","",""
"5","T","710010183","","","","","","","","","245.00","","","","","","233.00","","","","","","","","","","20240901","","","","","","","","","",""
"9","T","710010894","","","","","","","","","","","","","","","","","","","","","","","","","20240901","","20240831","","","","","","","",""
"9","T","710010895","","","","","","","","","","","","","","","","","","","","","","","","","20240901","","20240831","","","","","","","",""
"3","T","739310001","29","経皮的カテーテル心筋焼灼術用カテーテル（パルスフィールド）","20","ｹｲﾋﾃｷｶﾃｰﾃﾙｼﾝｷﾝｼｮｳｼｬｸ","0","0","","1","681000.00","0","0","00","00","0","0.00","0","0","0","0","0","0","","637500","0","20240901","00000000","99999999","2","123","0","","","","経皮的カテーテル心筋焼灼術用カテーテル・パルスフィールドアブレーション用","000"
"3","T","739310002","19","培養ヒト角膜内皮細胞・調製・移植キット","19","ﾊﾞｲﾖｳﾋﾄｶｸﾏｸﾅｲﾋｻｲﾎﾞｳ","0","0","","1","9464500.00","0","0","00","00","0","0.00","0","0","0","0","0","0","","981100","0","20240901","00000000","99999999","2","228","0","","","","培養ヒト角膜内皮細胞・調製・移植キット","000"
"3","T","739310003","11","弁周囲欠損孔閉鎖セット","19","ﾍﾞﾝｼｭｳｲｹｯｿﾝｺｳﾍｲｻｾｯﾄ","0","0","","1","675400.00","0","0","00","00","0","0.00","0","0","0","0","0","0","","981200","0","20240901","00000000","99999999","2","229","0","","","","弁周囲欠損孔閉鎖セット","000"
