"5","Y","620006801","","","","","","","","","","","","","","","","","","","","","","","","","","","20241206","","","","","","","4291018M1ZZZ","【般】スニチニブカプセル１２．５ｍｇ","2","","",""
"3","Y","621498802","31","乾燥ジフテリアウマ抗毒素注射用５千単位「ＫＭＢ」　（溶解液付）","20","ｶﾝｿｳｼﾞﾌﾃﾘｱｳﾏｺｳﾄﾞｸｿﾁｭ","19","1","瓶","1","170030.00","0","0","0","1","0","0","0","0","0","2","646330020","0","0.00","0","0","4","","20241206","99999999","6331408X1012","0","0","乾燥ジフテリアウマ抗毒素注射用５０００単位「ＫＭＢ」","0","","","0","0","0","0"
"3","Y","621512002","31","ドブタミン持続静注５０ｍｇシリンジ「テルモ」　０．１％５０ｍＬ","20","ﾄﾞﾌﾞﾀﾐﾝｼﾞｿﾞｸｼﾞｮｳﾁｭｳ5","47","1","筒","1","305.00","0","0","0","0","1","0","0","0","50","0","0","0","0.00","0","0","4","","20241206","99999999","2119404G5059","0","0","ドブタミン持続静注５０ｍｇシリンジ「テルモ」","20241206","","","0","0","0","0"
"3","Y","621512102","32","ドブタミン持続静注１５０ｍｇシリンジ「テルモ」　０．３％５０ｍＬ","20","ﾄﾞﾌﾞﾀﾐﾝｼﾞｿﾞｸｼﾞｮｳﾁｭｳ1","47","1","筒","1","470.00","0","0","0","0","1","0","0","0","50","0","0","0","0.00","0","0","4","","20241206","99999999","2119404G6055","0","0","ドブタミン持続静注１５０ｍｇシリンジ「テルモ」","20241206","","","0","0","0","0"
"3","Y","621757902","32","ドブタミン持続静注３００ｍｇシリンジ「テルモ」　０．６％５０ｍＬ","20","ﾄﾞﾌﾞﾀﾐﾝｼﾞｿﾞｸｼﾞｮｳﾁｭｳ3","47","1","筒","1","897.00","0","0","0","0","1","0","0","0","50","0","0","0","0.00","0","0","4","","20241206","99999999","2119404G7043","0","0","ドブタミン持続静注３００ｍｇシリンジ「テルモ」","20241206","","","0","0","0","0"
"5","Y","621980701","","","","","","","","","","","","","","","","","","","","","","","","","","","20241206","","","","","","","3969011F1ZZZ","【般】ビルダグリプチン錠５０ｍｇ","2","","",""
"5","Y","622068301","","","","","","","","","","","","","","","","","","","","","","","","","","","20241206","","","","","","","3339003F1ZZZ","【般】リバーロキサバン錠１０ｍｇ","2","","",""
"5","Y","622068401","","","","","","","","","","","","","","","","","","","","","","","","","","","20241206","","","","","","","3339003F2ZZZ","【般】リバーロキサバン錠１５ｍｇ","2","","",""
"3","Y","622194402","16","スマトリプタン錠５０ｍｇ「ＴＷ」","18","ｽﾏﾄﾘﾌﾟﾀﾝｼﾞｮｳ50MGTW","16","1","錠","1","142.10","0","0","0","0","1","0","0","0","0","0","0","0","0.00","0","0","1","","20241206","99999999","2160003F1189","0","0","スマトリプタン錠５０ｍｇ「ＴＷ」","20241206","2160003F1ZZZ","【般】スマトリプタン錠５０ｍｇ","2","0","0","0"
"3","Y","622237202","30","ロキソプロフェンＮａテープ５０ｍｇ「ＴＷ」　７ｃｍ×１０ｃｍ","20","ﾛｷｿﾌﾟﾛﾌｪﾝNAﾃｰﾌﾟ50MGT","6","1","枚","1","12.30","0","0","0","0","1","0","0","0","0","8","622907800","0","0.00","0","0","6","","20241206","99999999","2649735S2016","0","0","ロキソプロフェンＮａテープ５０ｍｇ「ＴＷ」","0","2649735SAZZZ","【般】ロキソプロフェンＮａテープ５０ｍｇ（７×１０ｃｍ非温感）","2","0","0","0"
"3","Y","622237302","32","ロキソプロフェンＮａテープ１００ｍｇ「ＴＷ」　１０ｃｍ×１４ｃｍ","20","ﾛｷｿﾌﾟﾛﾌｪﾝNAﾃｰﾌﾟ100MG","6","1","枚","1","17.10","0","0","0","0","1","0","0","0","0","0","0","0","0.00","0","0","6","","20241206","99999999","2649735S3306","0","0","ロキソプロフェンＮａテープ１００ｍｇ「ＴＷ」","20241206","2649735SBZZZ","【般】ロキソプロフェンＮａテープ１００ｍｇ（１０×１４ｃｍ非温）","2","0","0","0"
"5","Y","622245601","","","","","","","","","","","","","","","","","","","","","","","","","","","20241206","","","","","","","3969017F1ZZZ","【般】サキサグリプチン錠２．５ｍｇ","2","","",""
"5","Y","622245701","","","","","","","","","","","","","","","","","","","","","","","","","","","20241206","","","","","","","3969017F2ZZZ","【般】サキサグリプチン錠５ｍｇ","2","","",""
"3","Y","622367202","32","バイクロット配合注２．５ｍＬ　第７ａ因子１．５第Ｘ因子１５溶解液","20","ﾊﾞｲｸﾛｯﾄﾊｲｺﾞｳｼﾞｮｳﾁｭｳﾖ","19","1","瓶","1","268272.00","0","0","0","0","0","0","0","0","0","6","0","0","0.00","0","0","4","","20241206","99999999","6343500D1035","0","0","バイクロット配合静注用２．５ｍＬ","20241206","","","0","0","0","0"
