"3","Y","622884801","14","アキュミン静注　１８５ＭＢｑ","12","ｱｷｭﾐﾝｼﾞｮｳﾁｭｳ","19","1","瓶","1","344867.00","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","4","","20240522","99999999","4300455A1027","0","0","アキュミン静注","20240522","","","0","0"
"3","Y","622946301","17","ロラタジン錠１０ｍｇ「フェルゼン」","20","ﾛﾗﾀｼﾞﾝｼﾞｮｳ10MGﾌｪﾙｾﾞﾝ","16","1","錠","1","16.30","0","0","0","0","1","0","0","0","0","8","622959200","0","0.00","0","0","1","","20240522","99999999","4490027F1014","0","0","ロラタジン錠１０ｍｇ「フェルゼン」","0","4490027F1ZZZ","【般】ロラタジン錠１０ｍｇ","2","0"
"3","Y","622946401","19","ロラタジンＯＤ錠１０ｍｇ「フェルゼン」","20","ﾛﾗﾀｼﾞﾝODｼﾞｮｳ10MGﾌｪﾙｾ","16","1","錠","1","16.30","0","0","0","0","1","0","0","0","0","8","622959300","0","0.00","0","0","1","","20240522","99999999","4490027F2010","0","0","ロラタジンＯＤ錠１０ｍｇ「フェルゼン」","0","4490027F2ZZZ","【般】ロラタジン口腔内崩壊錠１０ｍｇ","2","0"
"3","Y","622946601","22","ロスバスタチンＯＤ錠２．５ｍｇ「フェルゼン」","20","ﾛｽﾊﾞｽﾀﾁﾝODｼﾞｮｳ2.5MGﾌ","16","1","錠","1","10.10","0","0","0","0","1","0","0","0","0","8","622692500","0","0.00","0","0","1","","20240522","99999999","2189017F3017","0","0","ロスバスタチンＯＤ錠２．５ｍｇ「フェルゼン」","0","2189017F3ZZZ","【般】ロスバスタチン口腔内崩壊錠２．５ｍｇ","2","0"
"3","Y","622946701","20","ロスバスタチンＯＤ錠５ｍｇ「フェルゼン」","20","ﾛｽﾊﾞｽﾀﾁﾝODｼﾞｮｳ5MGﾌｪﾙ","16","1","錠","1","10.10","0","0","0","0","1","0","0","0","0","8","622692700","0","0.00","0","0","1","","20240522","99999999","2189017F4013","0","0","ロスバスタチンＯＤ錠５ｍｇ「フェルゼン」","0","2189017F4ZZZ","【般】ロスバスタチン口腔内崩壊錠５ｍｇ","2","0"
"3","Y","622954901","10","トルカプ錠１６０ｍｇ","14","ﾄﾙｶﾌﾟｼﾞｮｳ160MG","16","1","錠","1","9263.50","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20240522","99999999","4291082F1028","0","0","トルカプ錠１６０ｍｇ","20240522","","","0","0"
"3","Y","622955001","10","トルカプ錠２００ｍｇ","14","ﾄﾙｶﾌﾟｼﾞｮｳ200MG","16","1","錠","1","11244.30","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20240522","99999999","4291082F2024","0","0","トルカプ錠２００ｍｇ","20240522","","","0","0"
"3","Y","622955301","12","カナグルＯＤ錠１００ｍｇ","16","ｶﾅｸﾞﾙODｼﾞｮｳ100MG","16","1","錠","1","158.50","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20240522","99999999","3969022F2025","0","0","カナグルＯＤ錠１００ｍｇ","20240522","","","0","0"
"3","Y","622955701","17","エンレスト粒状錠小児用１２．５ｍｇ","20","ｴﾝﾚｽﾄﾘｭｳｼﾞｮｳｼﾞｮｳｼｮｳﾆ","10","1","個","1","21.40","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20240522","99999999","2190041F4026","0","0","エンレスト粒状錠小児用１２．５ｍｇ","20240522","","","0","0"
"3","Y","622955801","18","エンレスト粒状錠小児用３１．２５ｍｇ","20","ｴﾝﾚｽﾄﾘｭｳｼﾞｮｳｼﾞｮｳｼｮｳﾆ","10","1","個","1","45.10","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","1","","20240522","99999999","2190041F5022","0","0","エンレスト粒状錠小児用３１．２５ｍｇ","20240522","","","0","0"
